item_name,price,rating,reviews,brand_name,weighted_review
"Amazon Essentials Women's Cotton Lightly Cushioned No-Show Socks, Multipacks",16.3,4.6,10430,Amazon Essentials,47977.99999999999
PUMA Men's Axelion Running Shoe,49.99,4.5,10632,PUMA,47844.0
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe,119.95,4.5,10630,Brooks,47835.0
Clarks Women's Ashland Spin Q Slip-On Loafer,35.99,4.4,10820,Clarks,47608.00000000001
PUMA Select Men's Suede Classic Plus Sneakers,79.95,4.6,10344,PUMA,47582.399999999994
DREAM PAIRS Women's Low-Chunk Low Heel Pump Sandals,54.99,4.3,10983,DREAM PAIRS,47226.9
"Amazon Essentials Men's Performance Cotton Cushioned Athletic Ankle Socks, 6 Pairs",19.0,4.5,10489,Amazon Essentials,47200.5
DREAM PAIRS Women's Comfortable Fashion Elastic Ankle Straps Flats Shoes,23.99,4.3,10945,DREAM PAIRS,47063.5
Skechers Men's Moreno Canvas Oxford Shoe,51.67,4.4,10678,Skechers,46983.200000000004
PUMA Women's Cali Sneaker,65.88,4.6,10146,PUMA,46671.6
Bruno Marc Men's Military Motorcycle Combat Military Boots,57.99,4.3,10826,Bruno Marc,46551.799999999996
PUMA Unisex-Adult Smash v2 NBK Sneaker,56.4,4.5,10334,PUMA,46503.0
Lugz Men's Flip Sneaker,28.55,4.4,10539,Lugz,46371.600000000006
Skechers Men's Equalizer Persistent,59.99,4.6,10071,Skechers,46326.6
adidas Men's Tech Response 2.0 Golf Shoe,49.99,4.6,10007,adidas,46032.2
DREAM PAIRS Women's 160912-W Adventurous Summer Outdoor Sandals,36.99,4.3,10667,DREAM PAIRS,45868.1
New Balance Men's 411 V1 Training Shoe,51.99,4.4,10417,New Balance,45834.8
Merrell Women's Moab 2 Vent Hiking Shoe,57.83,4.5,10089,Merrell,45400.5
Clarks Women's Leisa Cacti Slide Sandal,80.76,4.7,9642,Clarks,45317.4
Under Armour Men's Locker Iv Slide Sandal,19.1,4.5,10060,Under Armour,45270.0
Skechers Women's Ghenter Srelt Work Shoe,49.96,4.4,10128,Skechers,44563.200000000004
Clarks Women's Cheyn Madi Slip-On Loafer,47.05,4.5,9891,Clarks,44509.5
Merrell Men's Moab 2 Waterproof Hiking Shoe,59.19,4.5,9799,Merrell,44095.5
adidas Originals Men's NMD_r1 Sneaker,99.98,4.6,9577,adidas Originals,44054.2
LifeStride Women's Parigi Pumps,47.93,4.3,10217,LifeStride,43933.1
Clarks Men's Tilden Walk Oxford,53.49,4.5,9728,Clarks,43776.0
Easy Spirit Women's Romy Sneaker,42.41,4.6,9475,Easy Spirit,43585.0
DREAM PAIRS Women's Open Toe Ankle Strap Low Block Chunky Heels Sandals Party Dress Pumps Shoes,31.99,4.2,10373,DREAM PAIRS,43566.6
Nike Men's Gymnastics Shoes,72.49,4.4,9844,Nike,43313.600000000006
Amazon Essentials Men's Moccasin Slipper,22.43,4.3,10047,Amazon Essentials,43202.1
Roxy Women's Vista Sandal Flip-Flop,28.42,4.4,9714,Roxy,42741.600000000006
Brooks Men's Adrenaline GTS 22 Supportive Running Shoe,119.95,4.7,9010,Brooks,42347.0
"Amazon Essentials Men's Performance Cotton Cushioned Athletic No-Show Socks, 6 Pairs",17.1,4.4,9609,Amazon Essentials,42279.600000000006
Roxy Women's Costas Sandal Flip Flop,23.95,4.4,9501,Roxy,41804.4
Skechers Men's Gowalk 5-Elastic Stretch Athletic Slip-on Casual Loafer Walking Shoe Sneaker,54.01,4.4,9485,Skechers,41734.0
New Balance Men's Fresh Foam Arishi V3 Running Shoe,69.99,4.4,9474,New Balance,41685.600000000006
Skechers Men's Nampa Food Service Shoe,39.99,4.4,9408,Skechers,41395.200000000004
TOMS Women's Canvas Classics Seasonal,38.99,4.6,8991,TOMS,41358.6
Clarks Women's CloudSteppers Sillian Paz Slip-On Loafer,41.99,4.2,9816,Clarks,41227.200000000004
Reebok Men's Sublite Cushion Safety Toe Athletic Work Shoe Industrial & Construction,61.58,4.3,9540,Reebok,41022.0
New Balance Men's 520 V7 Running Shoe,42.96,4.4,9303,New Balance,40933.200000000004
adidas Women's Puremotion Running Shoe,44.83,4.5,9083,adidas,40873.5
PUMA Unisex-Child ST Runner Hook and Loop Sneaker,35.0,4.5,9079,PUMA,40855.5
Saucony Women's Cohesion 13 Running Shoe,49.95,4.5,9010,Saucony,40545.0
"Ryka Women's, Influence Training Shoe",59.99,4.3,9304,Ryka,40007.2
Bruno Marc Men's Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes,52.99,4.6,8602,Bruno Marc,39569.2
PUMA Women's Blur Running Shoes,70.92,4.4,8974,PUMA,39485.600000000006
Lugz Men's Convoy Fashion Boot,42.97,4.4,8928,Lugz,39283.200000000004
New Balance Women's Fresh Foam Arishi V3 Classic Running Shoe,47.93,4.4,8923,New Balance,39261.200000000004
Dockers Men's Searose Fisherman Sandal,29.99,4.4,8866,Dockers,39010.4
adidas Men's Kaptir 2.0 Running Shoe,61.88,4.5,8663,adidas,38983.5
Merrell Women's Moab 2 Mid Waterproof Hiking Boot,73.17,4.7,8207,Merrell,38572.9
Amazon Essentials Women's Loafer Flat,23.0,4.1,9385,Amazon Essentials,38478.5
adidas Men's Runfalcon 2.0 Tr Running Shoe,55.88,4.6,8265,adidas,38019.0
Bruno Marc Men's Casual Slip-on Loafers Stretch Shoes 1.0,30.83,4.4,8624,Bruno Marc,37945.600000000006
LifeStride Women's Diverse Ballet Flat,47.94,4.0,9474,LifeStride,37896.0
adidas Women's Advantage Sneaker,55.9,4.5,8404,adidas,37818.0
Steve Madden Women's Maxima Sneaker,40.6,4.5,8401,Steve Madden,37804.5
Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid),8.85,4.6,8152,Capezio,37499.2
Ryka Women's Devotion Plus 2 Walking Shoe,79.95,4.2,8926,Ryka,37489.200000000004
ASICS Men's Gel-Nimbus 22 Running Shoes,119.95,4.7,7973,ASICS,37473.1
Cole Haan Men's Original Grand Shortwing Oxford Shoe,77.0,4.6,8123,Cole Haan,37365.799999999996
DREAM PAIRS Women's Elastic Ankle Strap Low Wedges Sandals,30.99,4.3,8682,DREAM PAIRS,37332.6
adidas Men's HVC Wrestling Shoe,57.99,4.6,8112,adidas,37315.2
Bruno Marc Men's Rivera Oxfords Shoes Sneakers,36.79,4.2,8875,Bruno Marc,37275.0
Roxy Women's Rory Slip on Sneaker,50.0,4.6,8081,Roxy,37172.6
Merrell Men's Moab 2 Vent Hiking Shoe,64.95,4.6,7973,Merrell,36675.799999999996
Reebok Women's Classic Legacy Sneaker,64.99,4.4,8325,Reebok,36630.0
Skechers Men's Go Max Clinched-Athletic Mesh Double Gore Slip on Walking Shoe,41.25,4.5,8014,Skechers,36063.0
DREAM PAIRS Women's Ankle Strap Low Wedge Sandals,45.99,4.0,8990,DREAM PAIRS,35960.0
Dockers Men’s Gordon Leather Oxford Dress Shoe,49.95,4.5,7976,Dockers,35892.0
DREAM PAIRS Women's Elastic Ankle Strap Flat Sandals Summer Dressy Shoes Cute Strappy Gladiator Sandals,19.99,4.5,7950,DREAM PAIRS,35775.0
Amazon Essentials Women's Pointed-Toe Ballet Flat,24.9,4.2,8508,Amazon Essentials,35733.6
DREAM PAIRS Women's Dolce Fashion Stilettos Open Toe Pump Heel Sandals,40.99,4.3,8284,DREAM PAIRS,35621.2
Merrell Women's Jungle Moc Mountaineering Boot,45.58,4.5,7908,Merrell,35586.0
